name,category,website,rating,location
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,Three,Regno Unito
Chase Me (Paris Nights #2),B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html,Five,Regno Unito
Black Dust,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/black-dust_976/index.html,Five,Regno Unito
Birdsong: A Story in Pictures,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html,Three,Regno Unito
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,Three,Regno Unito
Aladdin and His Wonderful Lamp,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html,Three,Regno Unito
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,Five,Regno Unito
Wall and Piece,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/wall-and-piece_971/index.html,Four,Regno Unito
The Four Agreements: A Practical Guide to Personal Freedom,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html,Five,Regno Unito
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,Three,Regno Unito
The Elephant Tree,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/the-elephant-tree_968/index.html,Five,Regno Unito
The Bear and the Piano,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html,One,Regno Unito
Sophie's World,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/sophies-world_966/index.html,Five,Regno Unito
Penny Maybe,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/penny-maybe_965/index.html,Three,Regno Unito
Maude (1883-1993):She Grew Up with the country,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html,Two,Regno Unito
"In a Dark, Dark Wood",B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html,One,Regno Unito
Behind Closed Doors,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/behind-closed-doors_962/index.html,Four,Regno Unito
You can't bury them all: Poems,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html,Two,Regno Unito
Slow States of Collapse: Poems,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html,Three,Regno Unito
Reasons to Stay Alive,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html,Two,Regno Unito
Private Paris (Private #10),B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/private-paris-private-10_958/index.html,Five,Regno Unito
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html,Five,Regno Unito
Without Borders (Wanderlove #1),B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/without-borders-wanderlove-1_956/index.html,Two,Regno Unito
When We Collided,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/when-we-collided_955/index.html,One,Regno Unito
"We Love You, Charlie Freeman",B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html,Five,Regno Unito
Untitled Collection: Sabbath Poems 2014,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html,Four,Regno Unito
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html,Four,Regno Unito
Unicorn Tracks,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/unicorn-tracks_951/index.html,Three,Regno Unito
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html,One,Regno Unito
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html,One,Regno Unito
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html,Three,Regno Unito
This One Summer,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/this-one-summer_947/index.html,Four,Regno Unito
Thirst,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/thirst_946/index.html,Five,Regno Unito
The Torch Is Passed: A Harding Family Story,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/the-torch-is-passed-a-harding-family-story_945/index.html,One,Regno Unito
The Secret of Dreadwillow Carse,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/the-secret-of-dreadwillow-carse_944/index.html,One,Regno Unito
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html,One,Regno Unito
The Past Never Ends,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html,Four,Regno Unito
The Natural History of Us (The Fine Art of Pretending #2),B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html,Three,Regno Unito
The Nameless City (The Nameless City #1),B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html,Four,Regno Unito
The Murder That Never Was (Forensic Instincts #5),B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/the-murder-that-never-was-forensic-instincts-5_939/index.html,Three,Regno Unito
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html,Four,Regno Unito
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/index.html,Four,Regno Unito
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html,Three,Regno Unito
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/the-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/index.html,Five,Regno Unito
The Gutsy Girl: Escapades for Your Life of Epic Adventure,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html,One,Regno Unito
The Electric Pencil: Drawings from Inside State Hospital No. 3,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html,One,Regno Unito
The Death of Humanity: and the Case for Life,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/the-death-of-humanity-and-the-case-for-life_932/index.html,Four,Regno Unito
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/the-bulletproof-diet-lose-up-to-a-pound-a-day-reclaim-energy-and-focus-upgrade-your-life_931/index.html,Three,Regno Unito
The Art Forger,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/the-art-forger_930/index.html,Three,Regno Unito
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/the-age-of-genius-the-seventeenth-century-and-the-birth-of-the-modern-mind_929/index.html,One,Regno Unito
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/the-activists-tao-te-ching-ancient-advice-for-a-modern-revolution_928/index.html,Five,Regno Unito
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/spark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/index.html,Four,Regno Unito
Soul Reader,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/soul-reader_926/index.html,Two,Regno Unito
Security,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/security_925/index.html,Two,Regno Unito
"Saga, Volume 6 (Saga (Collected Editions) #6)",B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/saga-volume-6-saga-collected-editions-6_924/index.html,Three,Regno Unito
"Saga, Volume 5 (Saga (Collected Editions) #5)",B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/saga-volume-5-saga-collected-editions-5_923/index.html,Two,Regno Unito
Reskilling America: Learning to Labor in the Twenty-First Century,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/reskilling-america-learning-to-labor-in-the-twenty-first-century_922/index.html,Two,Regno Unito
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html,Three,Regno Unito
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html,Five,Regno Unito
Princess Between Worlds (Wide-Awake Princess #5),B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/princess-between-worlds-wide-awake-princess-5_919/index.html,Five,Regno Unito
"Pop Gun War, Volume 1: Gift",B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/pop-gun-war-volume-1-gift_918/index.html,One,Regno Unito
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/political-suicide-missteps-peccadilloes-bad-calls-backroom-hijinx-sordid-pasts-rotten-breaks-and-just-plain-dumb-mistakes-in-the-annals-of-american-politics_917/index.html,Two,Regno Unito
Patience,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/patience_916/index.html,Three,Regno Unito
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html,Four,Regno Unito
orange: The Complete Collection 1 (orange: The Complete Collection #1),B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html,One,Regno Unito
Online Marketing for Busy Authors: A Step-By-Step Guide,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/online-marketing-for-busy-authors-a-step-by-step-guide_913/index.html,One,Regno Unito
On a Midnight Clear,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/on-a-midnight-clear_912/index.html,Three,Regno Unito
Obsidian (Lux #1),B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/obsidian-lux-1_911/index.html,Two,Regno Unito
My Paris Kitchen: Recipes and Stories,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/my-paris-kitchen-recipes-and-stories_910/index.html,Two,Regno Unito
Masks and Shadows,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/masks-and-shadows_909/index.html,Two,Regno Unito
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/mama-tried-traditional-italian-cooking-for-the-screwed-crude-vegan-and-tattooed_908/index.html,Four,Regno Unito
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html,Two,Regno Unito
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html,Three,Regno Unito
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html,Two,Regno Unito
"Layered: Baking, Building, and Styling Spectacular Cakes",B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/layered-baking-building-and-styling-spectacular-cakes_904/index.html,One,Regno Unito
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/judo-seven-steps-to-black-belt-an-introductory-guide-for-beginners_903/index.html,Two,Regno Unito
Join,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/join_902/index.html,Five,Regno Unito
In the Country We Love: My Family Divided,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/in-the-country-we-love-my-family-divided_901/index.html,Four,Regno Unito
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/immunity-how-elie-metchnikoff-changed-the-course-of-modern-medicine_900/index.html,Five,Regno Unito
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/i-hate-fairyland-vol-1-madly-ever-after-i-hate-fairyland-compilations-1-5_899/index.html,Two,Regno Unito
I am a Hero Omnibus Volume 1,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/i-am-a-hero-omnibus-volume-1_898/index.html,Three,Regno Unito
How to Be Miserable: 40 Strategies You Already Use,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/how-to-be-miserable-40-strategies-you-already-use_897/index.html,One,Regno Unito
Her Backup Boyfriend (The Sorensen Family #1),B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/her-backup-boyfriend-the-sorensen-family-1_896/index.html,One,Regno Unito
"Giant Days, Vol. 2 (Giant Days #5-8)",B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/giant-days-vol-2-giant-days-5-8_895/index.html,Two,Regno Unito
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html,Three,Regno Unito
First and First (Five Boroughs #3),B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/first-and-first-five-boroughs-3_893/index.html,Four,Regno Unito
Fifty Shades Darker (Fifty Shades #2),B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/fifty-shades-darker-fifty-shades-2_892/index.html,One,Regno Unito
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/everydata-the-misinformation-hidden-in-the-little-data-you-consume-every-day_891/index.html,Two,Regno Unito
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/dont-be-a-jerk-and-other-practical-advice-from-dogen-japans-greatest-zen-master_890/index.html,Two,Regno Unito
Danganronpa Volume 1,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/danganronpa-volume-1_889/index.html,Four,Regno Unito
Crown of Midnight (Throne of Glass #2),B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/crown-of-midnight-throne-of-glass-2_888/index.html,Three,Regno Unito
"Codename Baboushka, Volume 1: The Conclave of Death",B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/codename-baboushka-volume-1-the-conclave-of-death_887/index.html,Four,Regno Unito
Camp Midnight,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/camp-midnight_886/index.html,Four,Regno Unito
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/call-the-nurse-true-stories-of-a-country-nurse-on-a-scottish-isle_885/index.html,Five,Regno Unito
Burning,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/burning_884/index.html,Three,Regno Unito
Bossypants,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/bossypants_883/index.html,Two,Regno Unito
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/bitch-planet-vol-1-extraordinary-machine-bitch-planet-collected-editions_882/index.html,Two,Regno Unito
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/avatar-the-last-airbender-smoke-and-shadow-part-3-smoke-and-shadow-3_881/index.html,Two,Regno Unito
Algorithms to Live By: The Computer Science of Human Decisions,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/algorithms-to-live-by-the-computer-science-of-human-decisions_880/index.html,One,Regno Unito
A World of Flavor: Your Gluten Free Passport,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/a-world-of-flavor-your-gluten-free-passport_879/index.html,One,Regno Unito
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/a-piece-of-sky-a-grain-of-rice-a-memoir-in-four-meditations_878/index.html,Five,Regno Unito
A Murder in Time,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/a-murder-in-time_877/index.html,One,Regno Unito
A Flight of Arrows (The Pathfinders #2),B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/a-flight-of-arrows-the-pathfinders-2_876/index.html,Five,Regno Unito
A Fierce and Subtle Poison,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/a-fierce-and-subtle-poison_875/index.html,Four,Regno Unito
A Court of Thorns and Roses (A Court of Thorns and Roses #1),B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/a-court-of-thorns-and-roses-a-court-of-thorns-and-roses-1_874/index.html,One,Regno Unito
(Un)Qualified: How God Uses Broken People to Do Big Things,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/unqualified-how-god-uses-broken-people-to-do-big-things_873/index.html,Five,Regno Unito
You Are What You Love: The Spiritual Power of Habit,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/you-are-what-you-love-the-spiritual-power-of-habit_872/index.html,Four,Regno Unito
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/william-shakespeares-star-wars-verily-a-new-hope-william-shakespeares-star-wars-4_871/index.html,Four,Regno Unito
Tuesday Nights in 1980,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/tuesday-nights-in-1980_870/index.html,Two,Regno Unito
Tracing Numbers on a Train,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/tracing-numbers-on-a-train_869/index.html,Three,Regno Unito
Throne of Glass (Throne of Glass #1),B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/throne-of-glass-throne-of-glass-1_868/index.html,Three,Regno Unito
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/thomas-jefferson-and-the-tripoli-pirates-the-forgotten-war-that-changed-american-history_867/index.html,One,Regno Unito
Thirteen Reasons Why,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/thirteen-reasons-why_866/index.html,One,Regno Unito
The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/the-white-cat-and-the-monk-a-retelling-of-the-poem-pangur-ban_865/index.html,Four,Regno Unito
The Wedding Dress,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/the-wedding-dress_864/index.html,One,Regno Unito
The Vacationers,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/the-vacationers_863/index.html,Four,Regno Unito
The Third Wave: An Entrepreneur’s Vision of the Future,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/the-third-wave-an-entrepreneurs-vision-of-the-future_862/index.html,Five,Regno Unito
The Stranger,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/the-stranger_861/index.html,Four,Regno Unito
The Shadow Hero (The Shadow Hero),B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/the-shadow-hero-the-shadow-hero_860/index.html,One,Regno Unito
The Secret (The Secret #1),B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/the-secret-the-secret-1_859/index.html,Four,Regno Unito
The Regional Office Is Under Attack!,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/the-regional-office-is-under-attack_858/index.html,Five,Regno Unito
The Psychopath Test: A Journey Through the Madness Industry,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/the-psychopath-test-a-journey-through-the-madness-industry_857/index.html,Two,Regno Unito
The Project,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/the-project_856/index.html,One,Regno Unito
The Power of Now: A Guide to Spiritual Enlightenment,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/the-power-of-now-a-guide-to-spiritual-enlightenment_855/index.html,Two,Regno Unito
The Omnivore's Dilemma: A Natural History of Four Meals,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/the-omnivores-dilemma-a-natural-history-of-four-meals_854/index.html,Two,Regno Unito
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/the-nerdy-nummies-cookbook-sweet-treats-for-the-geek-in-all-of-us_853/index.html,Five,Regno Unito
The Murder of Roger Ackroyd (Hercule Poirot #4),B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/the-murder-of-roger-ackroyd-hercule-poirot-4_852/index.html,Four,Regno Unito
The Mistake (Off-Campus #2),B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/the-mistake-off-campus-2_851/index.html,Three,Regno Unito
The Matchmaker's Playbook (Wingmen Inc. #1),B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/the-matchmakers-playbook-wingmen-inc-1_850/index.html,One,Regno Unito
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/the-love-and-lemons-cookbook-an-apple-to-zucchini-celebration-of-impromptu-cooking_849/index.html,Two,Regno Unito
The Long Shadow of Small Ghosts: Murder and Memory in an American City,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/the-long-shadow-of-small-ghosts-murder-and-memory-in-an-american-city_848/index.html,One,Regno Unito
The Kite Runner,B2B E-Commerce & Retail,https://books.toscrape.com/catalogue/the-kite-runner_847/index.html,Four,Regno Unito
